time,pred,entry,exit,result,pnl,cum_pnl
2025-07-15 09:25:00,SELL,3361.629,3361.129,TP,0.5,-714.5
2025-07-15 09:30:00,SELL,3360.524,3361.524,SL,-1.0,-715.5
2025-07-15 09:35:00,SELL,3362.581,3362.081,TP,0.5,-715.0
2025-07-15 09:40:00,SELL,3361.992,3361.492,TP,0.5,-714.5
2025-07-15 09:45:00,SELL,3361.753,3362.753,SL,-1.0,-715.5
2025-07-15 09:50:00,SELL,3362.285,3363.285,SL,-1.0,-716.5
2025-07-15 09:55:00,SELL,3363.37,3364.37,SL,-1.0,-717.5
2025-07-15 10:00:00,SELL,3364.893,3365.893,SL,-1.0,-718.5
2025-07-15 10:05:00,SELL,3364.107,3363.607,TP,0.5,-718.0
2025-07-15 10:10:00,SELL,3364.679,3364.179,TP,0.5,-717.5
2025-07-15 10:15:00,SELL,3365.421,3364.921,TP,0.5,-717.0
2025-07-15 10:20:00,SELL,3364.47,3363.97,TP,0.5,-716.5
2025-07-15 10:25:00,BUY,3362.948,3363.448,TP,0.5,-716.0
2025-07-15 10:30:00,BUY,3363.298,3363.798,TP,0.5,-715.5
2025-07-15 10:35:00,BUY,3363.297,3362.297,SL,-1.0,-716.5
2025-07-15 10:40:00,BUY,3362.769,3361.769,SL,-1.0,-717.5
2025-07-15 10:45:00,BUY,3362.359,3361.359,SL,-1.0,-718.5
2025-07-15 10:50:00,BUY,3361.885,3360.885,SL,-1.0,-719.5
2025-07-15 10:55:00,BUY,3361.258,3361.758,TP,0.5,-719.0
2025-07-15 11:00:00,BUY,3360.746,3359.746,SL,-1.0,-720.0
2025-07-15 11:05:00,SELL,3360.144,3361.144,SL,-1.0,-721.0
2025-07-15 11:10:00,SELL,3360.585,3360.085,TP,0.5,-720.5
2025-07-15 11:15:00,SELL,3359.316,3358.816,TP,0.5,-720.0
2025-07-15 11:20:00,SELL,3358.784,3358.284,TP,0.5,-719.5
2025-07-15 11:25:00,SELL,3358.193,3359.193,SL,-1.0,-720.5
2025-07-15 11:30:00,SELL,3357.772,3357.272,TP,0.5,-720.0
2025-07-15 11:35:00,SELL,3357.668,3357.168,TP,0.5,-719.5
2025-07-15 11:40:00,SELL,3357.085,3356.585,TP,0.5,-719.0
2025-07-15 11:45:00,SELL,3356.324,3355.824,TP,0.5,-718.5
2025-07-15 11:50:00,SELL,3355.304,3354.804,TP,0.5,-718.0
2025-07-15 11:55:00,SELL,3354.932,3354.432,TP,0.5,-717.5
2025-07-15 12:00:00,SELL,3354.093,3353.593,TP,0.5,-717.0
2025-07-15 12:05:00,SELL,3352.79,3352.29,TP,0.5,-716.5
2025-07-15 12:10:00,SELL,3352.745,3352.245,TP,0.5,-716.0
2025-07-15 12:15:00,SELL,3350.828,3351.828,SL,-1.0,-717.0
2025-07-15 12:20:00,SELL,3355.083,3354.583,TP,0.5,-716.5
2025-07-15 12:25:00,SELL,3354.324,3355.324,SL,-1.0,-717.5
2025-07-15 12:30:00,SELL,3353.354,3352.854,TP,0.5,-717.0
2025-07-15 12:35:00,SELL,3348.028,3349.028,SL,-1.0,-718.0
2025-07-15 12:40:00,SELL,3351.525,3352.525,SL,-1.0,-719.0
2025-07-15 12:45:00,SELL,3354.125,3353.625,TP,0.5,-718.5
2025-07-15 12:50:00,SELL,3350.94,3350.44,TP,0.5,-718.0
2025-07-15 12:55:00,SELL,3348.884,3349.884,SL,-1.0,-719.0
2025-07-15 13:00:00,SELL,3351.415,3352.415,SL,-1.0,-720.0
2025-07-15 13:05:00,SELL,3348.473,3347.973,TP,0.5,-719.5
2025-07-15 13:10:00,SELL,3346.623,3346.123,TP,0.5,-719.0
2025-07-15 13:15:00,SELL,3344.428,3343.928,TP,0.5,-718.5
2025-07-15 13:20:00,SELL,3342.992,3342.492,TP,0.5,-718.0
2025-07-15 13:25:00,SELL,3340.898,3341.898,SL,-1.0,-719.0
2025-07-15 13:30:00,SELL,3338.828,3338.328,TP,0.5,-718.5
2025-07-15 13:35:00,SELL,3336.584,3337.584,SL,-1.0,-719.5
2025-07-15 13:40:00,SELL,3338.427,3339.427,SL,-1.0,-720.5
2025-07-15 13:45:00,SELL,3339.991,3340.991,SL,-1.0,-721.5
2025-07-15 13:50:00,SELL,3343.772,3344.772,SL,-1.0,-722.5
2025-07-15 13:55:00,SELL,3346.489,3347.489,SL,-1.0,-723.5
